"sale_id,date_id,product_id,region_id,channel_id,quantity,revenue,cost"
"129,20231201,2,1,3,3000,7500,5250"
"130,20231201,2,2,1,7000,17500,10500"
"131,20231201,2,2,2,1800,5400,3240"
"132,20231201,2,2,3,2900,7250,5075"
"133,20231201,3,1,1,9800,29400,17640"
"134,20231201,3,1,3,5200,15600,10920"
"135,20231201,3,2,1,9600,28800,17280"
"136,20231201,3,2,3,5000,15000,10500"
"137,20231201,4,1,1,13500,33750,23625"
"138,20231201,4,1,3,7600,19000,14250"
"139,20231201,4,2,1,13200,33000,23100"
"140,20231201,4,2,3,7400,18500,13875"
"141,20231201,5,1,1,6900,17250,10350"
"142,20231201,5,1,2,2200,6600,3960"
"143,20231201,5,2,1,6700,16750,10050"
"144,20231201,5,2,2,2100,6300,3780"

"145,20241201,1,1,1,21500,27950,16770"
"146,20241201,1,1,2,5200,7800,4680"
"147,20241201,1,1,3,8000,8800,6160"
"148,20241201,1,2,1,21000,27300,16380"
"149,20241201,1,2,2,5000,7500,4500"
"150,20241201,1,2,3,7800,8580,6006"
"151,20241201,2,1,1,7500,18750,11250"
"152,20241201,2,1,2,2100,6300,3780"
"153,20241201,2,1,3,3300,8250,5775"
"154,20241201,2,2,1,7300,18250,10950"
"155,20241201,2,2,2,2000,6000,3600"
"156,20241201,2,2,3,3200,8000,5600"
"157,20241201,3,1,1,10200,30600,18360"
"158,20241201,3,1,3,5500,16500,11550"
"159,20241201,3,2,1,10000,30000,18000"
"160,20241201,3,2,3,5300,15900,11130"
"161,20241201,4,1,1,14000,35000,24500"
"162,20241201,4,1,3,7900,19750,14813"
"163,20241201,4,2,1,13700,34250,23975"
"164,20241201,4,2,3,7700,19250,14438"
"165,20241201,5,1,1,7200,18000,10800"
"166,20241201,5,1,2,2400,7200,4320"
"167,20241201,5,2,1,7000,17500,10500"
"168,20241201,5,2,2,2300,6900,4140"
